"the_geom","boro","unitid","point_x","point_y","cb","latitude","longitude"
"POINT (-73.79456804377382 40.77221777714884)","4","H425919a","1041150.586","220683.273","407","40.7722168","-73.79457092"
"POINT (-73.91289250895464 40.64434661766513)","3","H325449","1008423.396","174041.245","318","40.64434814","-73.9128952"
"POINT (-73.95303997851815 40.72505714515936)","3","H307276","997266.219","203437.906","301","40.72505569","-73.95304108"
"POINT (-73.99463256503688 40.69398892775767)","3","H301843","985738.421","192115.373","302","40.6939888","-73.99462891"
"POINT (-73.93569187481359 40.73528872722269)","4","H439410","1002071.97","207168.6435","402","40.73529053","-73.93569183"
"POINT (-73.91147293739287 40.63402697951728)","3","H328476","1008821.144","170281.918","318","40.63402557","-73.91147614"
"POINT (-73.94400116043501 40.6773924260893)","3","H315750","999782.669","186073.704","308","40.67739105","-73.94400024"
"POINT (-74.14396635619805 40.56425342130275)","5","H509011","944249.62625","144882.07825","503","40.56425476","-74.14396667"
"POINT (-73.72485402779134 40.75377740880686)","4","H417730","1060481.036","214017.841","411","40.75377655","-73.72485352"
"POINT (-73.72888277862388 40.695674559216215)","4","H403465","1059430.365","192845.796","413","40.6956749","-73.72888184"
"POINT (-73.88960919846667 40.847310811465405)","2","H207311","1014791.609","247994.859","206","40.84730911","-73.88961029"
"POINT (-74.18586824259428 40.53959262832965)","5","H504883","932588.33625","135919.4975","503","40.53959274","-74.18586731"
"POINT (-73.85406437094642 40.7214794112615)","4","H430412","1024702.096","202164.6345","406","40.72147751","-73.85406494"
"POINT (-74.19747394232706 40.543864856657954)","5","H502431","929366.072","137483.026","503","40.5438652","-74.19747162"
"POINT (-73.98914034871231 40.661898802480124)","3","H304743","987262.894","180424.15925","307","40.66189957","-73.98914337"
"POINT (-73.80028321892448 40.815047939107124)","2","H214891","1039532.021","236284.082","210","40.81504822","-73.80028534"
"POINT (-74.13743029670428 40.57589464135472)","5","H509317","946072.292","149120.339","502","40.5758934","-74.13742828"
"POINT (-73.73277569633196 40.70894278203164)","4","H401511","1058336.122","197676.466","413","40.70894241","-73.73277283"
"POINT (-73.92463200843837 40.75851086027111)","4","H438921","1005129.75525","215631.6515","401","40.75851059","-73.92462921"
"POINT (-73.84008871303975 40.776574333505046)","4","H431607","1028539.38","222244.217","407","40.77657318","-73.84008789"
"POINT (-73.82148269888899 40.71320814133872)","4","H424337","1033739.584","199167.89","408","40.71320724","-73.8214798"
"POINT (-73.73926695994402 40.68735222969732)","4","H409716","1056559.882","189804.999","413","40.68735123","-73.73926544"
"POINT (-73.94337853660109 40.73391184024882)","3","H307787","999942.059","206665.53","301","40.73391342","-73.94338226"
"POINT (-73.8840323095837 40.66646209212808)","3","H329635","1016421.784","182107.803","305","40.66646194","-73.8840332"
"POINT (-74.01414982424036 40.6438235906286)","3","H303778","980323.219","173838.99","307","40.64382172","-74.01415253"
"POINT (-73.70870173506339 40.728170630471624)","4","H409350","1064987.145","204702.99925","413","40.7281723","-73.70870209"
"POINT (-74.02245027878601 40.62207451461303)","3","H302810","978017.692","165915.699","310","40.62207413","-74.02245331"
"POINT (-73.95717909181424 40.71652117731797)","3","H307661","996120.474","200327.403","301","40.71652222","-73.95717621"
"POINT (-73.96391011720085 40.602441816073515)","3","H318926","994271.676","158764.261","315","40.6024437","-73.96391296"
"POINT (-74.1614457269805 40.595376852382884)","5","H503387","939413.969","156229.567","502","40.59537685","-74.16144572"
"POINT (-73.91489830091666 40.801547024084314)","2","H205759","1007811.123","231313.645","201","40.801548","-73.91490173"
"POINT (-73.80503220421846 40.76283516294326)","4","H426351","1038259.834","217258.26","407","40.76283646","-73.80503082"
"POINT (-73.74251270694663 40.688333422508244)","4","H404344","1055658.681","190159.812","413","40.6883316","-73.74251556"
"POINT (-73.92348147443283 40.64084981362962)","3","H324778","1005485.942","172764.52","317","40.64085007","-73.9234848"
"POINT (-73.95339708646 40.66789853208399)","3","H315300","997178.316","182613.282","309","40.66790009","-73.95339966"
"POINT (-73.96259175367022 40.64955967210373)","3","H315032","994630.437","175930.701","314","40.64955902","-73.96259308"
"POINT (-73.9873998996428 40.67145811660925)","3","H305309","987745.262","183906.952","306","40.6714592","-73.98739624"
"POINT (-74.07469873271091 40.610510180588214)","5","H515324","963509.67325","161710.5535","501","40.61051018","-74.07469873"
"POINT (-73.7580000627204 40.6665235252806)","4","H407295","1051385.552","182201.625","412","40.66652298","-73.75800323"
"POINT (-73.8110475665077 40.72071121390456)","4","H423963","1036626.57","201907.55","408","40.72071075","-73.81105042"
"POINT (-73.91288614514617 40.8418260039588)","2","H203150","1008353.611","245989.278","204","40.84182739","-73.91288757"
"POINT (-73.85223506759952 40.71765175786744)","4","H430307","1025211.515","200770.955","406","40.71765137","-73.85223389"
"POINT (-73.85436649199744 40.836842941852304)","2","H210109","1024548.473","244195.276","209","40.83684158","-73.85437012"
"POINT (-73.87643516222977 40.66692724841872)","3","H329560","1018529.146","182280.154","305","40.66692734","-73.87643433"
"POINT (-73.93705141468021 40.631837734003405)","3","H319668","1001722.28","169478.179","318","40.63183594","-73.93704987"
"POINT (-73.95173244964019 40.730383952070966)","3","H307898","997627.566","205378.824","301","40.73038483","-73.95172882"
"POINT (-73.83766432796182 40.72403034021015)","4","H427742","1029246.319","203102.014","406","40.72402954","-73.83766174"
"POINT (-73.88615246393285 40.866299480113604)","2","H204205","1015738.985","254914.379","207","40.86629868","-73.88615417"
"POINT (-73.88656940871171 40.67282269901632)","3","H327141","1015714.941","184424.229","305","40.67282104","-73.88656616"
"POINT (-73.9362215908767 40.59002014290445)","3","H327838","1001963.702","154243.113","315","40.59001923","-73.93621826"
"POINT (-73.84203106192443 40.69758785937855)","4","H424936","1028053.319","193466.021","409","40.69758606","-73.84203339"
"POINT (-73.76602613577859 40.69580696352467)","4","H409026","1049130.47","192864.34","412","40.69580841","-73.76602936"
"POINT (-73.86684422142899 40.89974145612519)","2","H205380","1021060.909","267106.149","212","40.89974213","-73.86684418"
"POINT (-74.13246244755634 40.61029878127835)","5","H507171","947471.298","161652.5","501","40.61029816","-74.13246155"
"POINT (-73.87145946928507 40.67389159534602)","3","H330126","1019905.77","184819.447","305","40.67389297","-73.87145996"
"POINT (-73.95200336693904 40.65152639617146)","3","H314873","997568.222","176648.665","317","40.6515274","-73.95200348"
"POINT (-73.77017754140762 40.711097774609286)","4","H401200","1047964.6805","198432.173","412","40.71109772","-73.77017975"
"POINT (-73.81489900679492 40.719557307486596)","4","H423890","1035559.862","201484.868","408","40.71955872","-73.81489563"
"POINT (-73.86560064889719 40.901597080727115)","2","H205294","1021403.657","267782.754","212","40.90159607","-73.86560059"
"POINT (-73.85783647336021 40.84749073789855)","2","H210706","1023581.994","248073.085","211","40.84749222","-73.85783386"
"POINT (-73.89346519273985 40.746221498141914)","4","H435597","1013769.57175","211163.20775","404","40.74621964","-73.89346313"
"POINT (-73.83972428254935 40.88983375496667)","2","H208796","1028564.812","263508.931","212","40.88983536","-73.83972168"
"POINT (-74.12790212889554 40.62665364266261)","5","H507472","948746.187","167609.118","501","40.62665176","-74.12789917"
"POINT (-73.83039236355336 40.83978213634869)","2","H212996","1031180.31","245278.069","210","40.83978271","-73.83039093"
"POINT (-73.99075215801308 40.663790630526165)","3","H304613","986815.642","181113.354","307","40.66379166","-73.99075317"
"POINT (-74.20326662775601 40.529469401546514)","5","H502133","927743.944","132242.119","503","40.52946854","-74.20326996"
"POINT (-73.91359772369948 40.773251640151855)","4","H437998","1008181.367","221005.025","401","40.77325058","-73.91359711"
"POINT (-73.97775994316136 40.61399173724911)","3","H313560","990424.697","162970.916","311","40.61399078","-73.97776031"
"POINT (-73.73352442438537 40.683923471442895)","4","H405295","1058156.272","188560.601","413","40.68392181","-73.73352814"
"POINT (-73.7169141632229 40.7318733476831)","4","H417570","1062706.611","206044.545","413","40.73187256","-73.71691132"
"POINT (-73.95613443624202 40.654190163672155)","3","H314844","996421.437","177618.548","317","40.65419006","-73.95613098"
"POINT (-73.9237028320579 40.67740279965768)","3","H321850","1005412.91","186081.735","303","40.6774025","-73.92370605"
"POINT (-73.89896469763835 40.818063381824295)","2","H206482","1012215.533","237335.824","202","40.81806183","-73.89896393"
"POINT (-73.90335767822536 40.7458260197777)","4","H437326","1011028.63775","211015.9435","402","40.74582672","-73.90335846"
"POINT (-73.92264957545409 40.61533050023428)","3","H328346","1005725.026","163467.36","318","40.61532974","-73.9226532"
"POINT (-73.927791519931 40.655697517194454)","3","H320531","1004285.33","178172.929","317","40.65569687","-73.92778778"
"POINT (-73.83894716421989 40.860566562534466)","2","H211005","1028799.283","252846.145","211","40.86056519","-73.83894348"
"POINT (-74.13078673502662 40.56813052613953)","5","H511859","947913.628","146288.858","503","40.56813049","-74.13078308"
"POINT (-73.85715326310178 40.832633360902804)","2","H210296","1023779.843","242660.302","209","40.83263397","-73.85715485"
"POINT (-74.17313205040897 40.544420356428326)","5","H505300","936131.804","137671.096","503","40.54442215","-74.17313385"
"POINT (-73.92644002042485 40.61581706571438)","3","H324640","1004672.525","163643.722","318","40.61581802","-73.92643738"
"POINT (-74.18011454782204 40.64077980408765)","5","H500014","934263.36125","172781.129","501","40.6407798","-74.18011455"
"POINT (-73.73854904400253 40.73760908031438)","4","H418285","1056704.33325","208115.6065","413","40.73760986","-73.73854828"
"POINT (-73.84815189272693 40.65367762903953)","4","H422087","1026383.803","177465.289","410","40.65367889","-73.84815216"
"POINT (-74.19540484734357 40.51998674132948)","5","H504726","929921.72875","128782.40075","503","40.5199852","-74.19540405"
"POINT (-73.73968978809816 40.68829447448579)","4","H409722","1056441.598","190147.936","413","40.68829346","-73.73969269"
"POINT (-73.89280106289041 40.83655758330331)","2","H206744","1013913.317","244075.961","203","40.8365593","-73.89279938"
"POINT (-73.98572657515363 40.68081435524196)","3","H304936","988208.886","187315.769","306","40.68081284","-73.9857254"
"POINT (-73.93402551261029 40.72357798832002)","3","H312552","1002536.989","202902.401","301","40.72357941","-73.93402863"
"POINT (-73.86295097220767 40.741029894388646)","4","H432349","1022227.665","209283.499","404","40.74103165","-73.86295319"
"POINT (-73.97737391595571 40.632460902072104)","3","H313918","990530.135","169699.749","314","40.63246155","-73.97737122"
"POINT (-73.9762453032587 40.6540268321433)","3","H310227","990841.264","177556.888","307","40.65402603","-73.97624207"
"POINT (-74.12822635009628 40.60290583426859)","5","H509718","948643.523","158957.311","502","40.60290527","-74.12822723"
"POINT (-73.91929836341966 40.62981775426419)","3","H325062","1006650.57","168746.287","318","40.62981796","-73.91929626"
"POINT (-73.85765467543328 40.87024136621709)","2","H208675","1023618.822","256362.087","212","40.87024307","-73.85765839"
"POINT (-73.99702302165667 40.67678176475857)","3","H301465","985075.7465","185846.27175","306","40.6767807","-73.99702454"
"POINT (-73.84739396226371 40.833202879919575)","2","H212524","1026480.161","242872.353","209","40.83320236","-73.84739685"
"POINT (-73.88081689482523 40.746933242001596)","4","H434815","1017273.915","211427.034","404","40.74693298","-73.8808136"
"POINT (-73.72251194951129 40.736396895801455)","4","H417680","1061149.9815","207687.64325","413","40.73639679","-73.72251129"
"POINT (-73.83833618031831 40.684880350145846)","4","H424625","1029086.4185","188838.17975","409","40.6848793","-73.83833313"
"POINT (-73.95707739917155 40.60711882919369)","3","H318738","996168.195","160469.073","315","40.60712051","-73.95707703"
"POINT (-73.90109337125263 40.77284229960348)","4","H438025","1011644.941","220859.552","401","40.77284241","-73.90109253"
"POINT (-73.9221611826012 40.67104453870352)","3","H320975","1005842.583","183765.616","316","40.6710434","-73.92216492"
"POINT (-74.17361554758087 40.545797060305446)","5","H505308","935998.421","138172.927","503","40.54579544","-74.1736145"
"POINT (-73.90614008471415 40.60741217776906)","3","H330908","1010311.694","160586.99","318","40.60741043","-73.90614319"
"POINT (-73.77721706300798 40.72053947119648)","4","H400376","1046004.339","201867.018","408","40.72053909","-73.77721405"
"POINT (-73.98840528075816 40.63738259173736)","3","H309116","987468.013","171492.255","312","40.63738251","-73.98840332"
"POINT (-73.90801109088773 40.81865228566394)","2","H206642","1009711.36","237547.624","201","40.81865311","-73.90801239"
"POINT (-73.78951062442839 40.71465967079435)","4","H413257","1042601.77825","199716.4055","408","40.71466064","-73.78951263"
"POINT (-73.9187389628049 40.75803467686619)","4","H438973","1006762.51","215459.622","401","40.75803375","-73.91873932"
"POINT (-73.90312157047453 40.8759722163039)","2","H201771","1011041.62","258432.89","208","40.87597275","-73.90312195"
"POINT (-73.94660604880382 40.702071722033075)","3","H311974","999054.658","195064.641","301","40.70207214","-73.9466095"
"POINT (-73.85277863221114 40.67834652867348)","4","H425201","1025084.90225","186450.661","410","40.67834473","-73.85277557"
"POINT (-73.81008449289814 40.704540882964665)","4","H401721","1036906.301","196016.799","412","40.70454025","-73.81008148"
"POINT (-73.94246151222634 40.72508604768946)","3","H307995","1000198.315","203450.185","301","40.72508621","-73.94245911"
"POINT (-73.84437320697019 40.653720123427554)","4","H421712","1027432.259","177482.611","410","40.65372086","-73.84437561"
"POINT (-73.843435253934 40.86921390511705)","2","H211596","1027552.19","255994.453","212","40.8692131","-73.84343719"
"POINT (-73.75436985093444 40.66455767434681)","4","H407314","1052394.65","181488.216","413","40.66455841","-73.75437164"
"POINT (-73.91973776777523 40.68007346050807)","3","H321625","1006511.827","187055.716","303","40.68007278","-73.91973877"
"POINT (-73.84627432755713 40.64789807766885)","4","H422015","1026908.472","175360.551","410","40.64789963","-73.84627533"
"POINT (-73.74513662708152 40.657599766862155)","4","H407686","1054963.572","178960.584","413","40.6576004","-73.74514008"
"POINT (-73.94575934406558 40.652028993120496)","3","H315724","999300.715","176832.786","317","40.65202713","-73.94576263"
"POINT (-73.80092417659463 40.75549067123906)","4","H426925","1039403.916","214584.988","407","40.75548935","-73.80092621"
"POINT (-74.14173059559356 40.55256790203316)","5","H511597","944863.933","140623.753","503","40.55256653","-74.14173126"
"POINT (-74.09038587080495 40.63553165671916)","5","H510548","959163.5","170830.639","501","40.63553238","-74.09038544"
"POINT (-73.86228559638785 40.67870381832273)","3","H330719","1022447.746","186576.543","305","40.67870381","-73.86228559"
"POINT (-73.86539919324647 40.67760980335345)","3","H330725","1021584.743","186176.62","305","40.67760849","-73.86540222"
"POINT (-73.73483096293614 40.668487606080255)","4","H407026","1057810.932","182935.799","413","40.66848755","-73.73483276"
"POINT (-74.20383540829516 40.540146782576734)","5","H502604","927594.881","136132.497","503","40.54014587","-74.20383453"
"POINT (-74.13680314935922 40.61634538708291)","5","H506949","946269.527","163857.286","501","40.61634445","-74.13680267"
"POINT (-73.78271322729341 40.730175475476535)","4","H421404","1044472.124","205373.875","408","40.73017502","-73.78271484"
"POINT (-74.17163712918669 40.55804675634629)","5","H505747","936557.01075","142634.6935","503","40.55804825","-74.17163849"
"POINT (-73.93104134242836 40.66436188530108)","3","H321297","1003381.133","181328.873","309","40.66436005","-73.9310379"
"POINT (-73.75860656430484 40.74119402130957)","4","H419480","1051142.3285","209405.75525","411","40.74119568","-73.75860596"
"POINT (-73.80569266405638 40.715757895161225)","4","H408038","1038114.92","200106.156","408","40.7157579","-73.80569266"
"POINT (-73.94707857999033 40.63605048922133)","3","H319609","998938.17","171011.158","317","40.63605118","-73.94707489"
"POINT (-73.95947318174078 40.62491713868687)","3","H319071","995499.965","166953.146","314","40.62491608","-73.95947266"
"POINT (-73.83823204296888 40.76926457430984)","4","H431908","1029058.525","219581.976","407","40.76926422","-73.83823395"
"POINT (-73.82794556863338 40.71106972667924)","4","H424283","1031949.443","198385.217","409","40.71107101","-73.82794189"
"POINT (-73.94220059829911 40.75018278893615)","4","H440327","1000264.601","212593.766","402","40.75018311","-73.94219971"
"POINT (-73.81783001309229 40.60722094572196)","4","H409933","1034832.504","160555.95325","414","40.60722095","-73.81783001"
"POINT (-73.81291877374154 40.7641521571808)","4","H426383","1036074.081","217733.319","407","40.76415253","-73.81291962"
"POINT (-74.14190883082597 40.54590322247752)","5","H511322","944810.469","138195.734","503","40.54590225","-74.14190674"
"POINT (-74.24001237209542 40.51718437092391)","5","H500506","917516.761","127792.26","503","40.51718521","-74.24001312"
"POINT (-73.87226629411714 40.65980919217597)","3","H329697","1019689.447","179688.50775","305","40.65980911","-73.87226868"
"POINT (-74.10908500854732 40.63477313664242)","5","H507725","953973.233","170560.199","501","40.63477325","-74.10908508"
"POINT (-73.92482136925426 40.83858620390694)","2","H200977","1005052.257","244805.839","204","40.8385849","-73.92481995"
"POINT (-73.86830862261174 40.840664695258596)","2","H210144","1020688.43425","245581.57475","211","40.84066391","-73.86830902"
"POINT (-73.99983651077127 40.65798175326063)","3","H304184","984295.361","178996.882","307","40.65798187","-73.99983978"
"POINT (-73.85201661362578 40.725757504481514)","4","H430542","1025267.083","203724.226","406","40.7257576","-73.85202026"
"POINT (-74.22072317421052 40.546961245648276)","5","H500749","922907.269","138626.535","503","40.54696274","-74.22072601"
"POINT (-74.12801234072082 40.61065154825418)","5","H507105","948707.074","161779.185","501","40.61065292","-74.12801361"
"POINT (-73.76346094789866 40.67559608952335)","4","H405845","1049861.673","185502.868","412","40.67559433","-73.76345825"
"POINT (-74.18239266544923 40.54305201564519)","5","H505437","933556.988","137177.801","503","40.54305267","-74.18239594"
"POINT (-73.92583935923146 40.761564737240406)","4","H439027","1004794.332","216743.993","401","40.76156616","-73.92584229"
"POINT (-73.99880324731038 40.62628280940712)","3","H308544","984582.2035","167448.096","310","40.62628174","-73.99880219"
"POINT (-73.90933857416454 40.672826843151874)","3","H321841","1009398.917","184418.381","316","40.67282867","-73.9093399"
"POINT (-73.94016077072145 40.7012134073673)","3","H311869","1000841.96775","194753.0865","301","40.7012134","-73.94016077"
"POINT (-73.90965084254007 40.77711345243558)","4","H438160","1009273.10725","222413.115","401","40.77711487","-73.90965271"
"POINT (-74.0925423591207 40.620074835122146)","5","H513062","958559.02","165199.935","501","40.62007523","-74.09254456"
"POINT (-73.89135627286109 40.83269074710838)","2","H206954","1014314.856","242667.623","203","40.83269119","-73.89135742"
"POINT (-74.09549901118689 40.61613291570008)","5","H513210","957736.649","163764.672","501","40.61613464","-74.09549713"
"POINT (-73.96313057572907 40.620037507663554)","3","H319263","994485.446","165174.919","314","40.62003708","-73.96312714"
"POINT (-73.89965053860304 40.71271453834801)","4","H433649","1012069.669","198953.562","405","40.71271515","-73.89965057"
"POINT (-73.93672054913836 40.62876176316004)","3","H324356","1001814.926","168357.587","318","40.62876129","-73.9367218"
"POINT (-73.90191909655502 40.7686750207802)","4","H436642","1011417.9335","219341.01725","401","40.76867676","-73.9019165"
"POINT (-73.89891916739577 40.73918718957934)","4","H435345","1012261.296","208598.596","402","40.73918533","-73.89891815"
"POINT (-74.24293774013593 40.502797581093226)","5","H501758","916688.855","122553.086","503","40.50279617","-74.24293518"
"POINT (-74.15452808881982 40.626101302282954)","5","H503822","941354.851","167419.801","501","40.62610245","-74.15452576"
"POINT (-74.14947046198209 40.620831048818644)","5","H504005","942755.51","165497.27475","501","40.62083054","-74.14946747"
"POINT (-73.84843953431951 40.74040077655552)","4","H430243","1026249.32325","209060.91625","481","40.74040222","-73.84844208"
"POINT (-73.87743341548992 40.7093942538901)","4","H431222","1018230.564","197751.72","405","40.70939255","-73.87743378"
"POINT (-73.77866390032852 40.69572399879642)","4","H403040","1045626.128","192825.006","412","40.69572449","-73.77866364"
"POINT (-73.90709554918274 40.81372669608313)","2","H205811","1009966.6735","235753.32325","201","40.81372833","-73.90709686"
"POINT (-74.0787090552376 40.62846449101085)","5","H513519","962402.073","168252.754","501","40.62846375","-74.07871246"
"POINT (-73.90771813841127 40.69582152858815)","3","H322470","1009839.59","192796.477","304","40.69581985","-73.90771484"
"POINT (-73.74393287740635 40.764981283601756)","4","H418951","1055183.196","218083.734","411","40.76498032","-73.74393463"
"POINT (-74.09500368394126 40.57039488390688)","5","H514502","957856.094","147101.006","502","40.57039642","-74.09500122"
"POINT (-73.87377611214528 40.748862347235466)","4","H434895","1019223.8","212132.601","403","40.74886322","-73.8737793"
"POINT (-73.89306065778776 40.82073601502391)","2","H206359","1013848.521","238311.5","202","40.82073593","-73.89305878"
"POINT (-73.98715643152194 40.7023922075582)","3","H302231","987811.1475","195177.1525","302","40.7023922","-73.98715643"
"POINT (-73.94211812863108 40.7463323395719)","4","H440231","1000288.378","211190.939","402","40.74633408","-73.94211578"
"POINT (-73.9813706343926 40.6801616210187)","3","H304970","989417.103","187078.186","306","40.68016052","-73.98136902"
"POINT (-73.88693232269944 40.812353787865916)","2","H209575","1015548.654","235259.686","202","40.81235504","-73.88693237"
"POINT (-73.99608586486568 40.686524733328106)","3","H301127","985335.534","189395.927","306","40.68652344","-73.99608612"
"POINT (-74.11141560456177 40.640569201928315)","5","H507644","953329.0575","172672.67475","501","40.64056778","-74.11141205"
"POINT (-74.0089378411168 40.648888023514054)","3","H304374","981769.808","175683.911","307","40.64888763","-74.00894165"
"POINT (-73.86821010427765 40.72427116438223)","4","H430386","1020779.49375","203175.53925","406","40.72426987","-73.86820984"
"POINT (-73.72331844683077 40.76258509315528)","4","H417888","1060896.342","217228.092","411","40.76258469","-73.72332001"
"POINT (-73.87894458577803 40.64510225805915)","3","H331063","1017843.975","174327.739","305","40.64510345","-73.8789444"
"POINT (-73.86441915248642 40.6647270844909)","3","H331297","1021863.845","181483.504","305","40.66472626","-73.86441803"
"POINT (-73.89767479861499 40.821596400028206)","2","H206328","1012572.559","238620.525","202","40.82159805","-73.89767456"
"POINT (-74.11327944482538 40.60186097300685)","5","H510134","952793.553","158570.92","502","40.60186097","-74.11327944"
"POINT (-74.14429795821631 40.60438470119421)","5","H506615","944181.577","159503.04175","502","40.60438538","-74.14429474"
"POINT (-73.85212612377761 40.86156344730634)","2","H211045","1025153.204","253202.92","211","40.86156464","-73.85212708"
"POINT (-74.12747947764348 40.61480738128922)","5","H507007","948857.228","163293.046","501","40.61480713","-74.12747955"
"POINT (-73.943601462602 40.62218083000597)","3","H320047","999906.486","165958.674","318","40.62218094","-73.94360352"
"POINT (-73.86709128325577 40.68270374216946)","3","H330626","1021112.586","188031.77","305","40.68270493","-73.86708832"
"POINT (-73.93377166246044 40.707222678416926)","3","H312477","1002611.857","196943.718","301","40.70722198","-73.93376923"
"POINT (-73.81017434804299 40.72657805044571)","4","H424148","1036863.989","204045.538","408","40.72657776","-73.81017303"
"POINT (-74.08076255958699 40.619703319033675)","5","H513755","961829.122","165061.347","501","40.6197052","-74.08076477"
"POINT (-73.84278098399429 40.90004625112419)","2","H209187","1027712.984","267228.224","212","40.9000473","-73.84278107"
"POINT (-73.93729405957286 40.6341669104243)","3","H320485","1001654.323","170326.712","317","40.63416672","-73.93729401"
"POINT (-73.94381377336269 40.584555657712784)","3","H327384","999856.34","152250.82","315","40.58455658","-73.94381714"
"POINT (-73.99633069977023 40.603322978440744)","3","H313117","985268.902","159083.248","311","40.60332108","-73.99633026"
"POINT (-73.90543772864484 40.721929364677244)","4","H436314","1010461.675","202309.018","405","40.72192764","-73.90544128"
"POINT (-73.96794304902485 40.5774134641637)","3","H322694","993155.122","149645.365","313","40.57741165","-73.96794128"
"POINT (-73.7289255387302 40.76116444353773)","4","H417806","1059344.67175","216705.64875","411","40.76116562","-73.72892761"
"POINT (-73.91358903191316 40.82564831534179)","2","H202791","1008164.943","240094.958","203","40.82564926","-73.91358948"
"POINT (-74.09031257544856 40.584833949495284)","5","H514670","959164.8","152360.135","502","40.58483505","-74.09030914"
"POINT (-73.98127188472608 40.61070095153333)","3","H313774","989449.903","161771.769","311","40.61070251","-73.98126984"
"POINT (-73.88877665580587 40.85699475930129)","2","H204513","1015017.467","251523.379","206","40.85699463","-73.88877869"
"POINT (-73.80756303889682 40.67102591399167)","4","H406360","1037632.227","183807.873","410","40.67102432","-73.80756378"
"POINT (-73.84753525542861 40.71434933477499)","4","H427955","1026516.43","199570.016","406","40.71434784","-73.84753418"
"POINT (-73.94921788035839 40.64674193696432)","3","H314986","998342.156","174905.991","317","40.64674377","-73.94921875"
"POINT (-73.96137232385213 40.61276883616232)","3","H319524","994974.728","162526.962","314","40.61277008","-73.96137238"
"POINT (-73.95511587995969 40.727584203644405)","3","H307150","996690.356","204358.29","301","40.72758484","-73.95511627"
"POINT (-73.86356372393807 40.866412485869176)","2","H208019","1021986.715","254964.477","211","40.86641312","-73.86356354"
"POINT (-73.85361930921083 40.878225647298486)","2","H208395","1024730.03175","259272.91175","212","40.87822723","-73.85362244"
"POINT (-73.85204525820411 40.86465275792565)","2","H210948","1025173.671","254328.512","211","40.86465454","-73.85204315"
"POINT (-73.89094767237377 40.63971259918772)","3","H328783","1014515.456","172359.766","318","40.63971329","-73.89094543"
"POINT (-73.95181356035818 40.71416663975235)","3","H307712","997611.615","199469.53","301","40.71416473","-73.95181274"
"POINT (-73.74517685638769 40.65475701394215)","4","H407713","1054955.423","177924.862","413","40.65475845","-73.74517822"
"POINT (-73.8883778677449 40.818798239877104)","2","H209415","1015145.516","237607.116","202","40.81879807","-73.88837433"
"POINT (-73.78958870792569 40.744677661818876)","4","H423204","1042553.86225","210652.812","411","40.7446785","-73.78958893"
"POINT (-73.97045837263727 40.625767431819774)","3","H314092","992450.4475","167261.71075","312","40.62576743","-73.97045837"
"POINT (-73.73301868338281 40.653711571831835)","4","H407881","1058330.085","177554.028","413","40.65371323","-73.73301697"
"POINT (-73.9874856237908 40.68291196700855)","3","H304926","987720.886","188079.915","306","40.68291092","-73.98748779"
"POINT (-73.85382750823761 40.57568631234542)","4","H418706","1024856.387","149048.371","414","40.57568741","-73.85382843"
"POINT (-73.90547582035343 40.682206565974504)","3","H322341","1010466.733","187836.814","304","40.6822052","-73.90547943"
"POINT (-73.85414078053839 40.86116270792575)","2","H211106","1024596.176","253055.981","211","40.86116409","-73.85414124"
"POINT (-73.99700121462345 40.60360184725198)","3","H313103","985082.708","159184.84","311","40.60360336","-73.99700165"
"POINT (-73.93710025075727 40.75836178662262)","4","H439930","1001675.625","215574.613","401","40.75836182","-73.93710327"
"POINT (-73.78706467550603 40.76522109823018)","4","H422347","1043235.063","218139.121","411","40.76522064","-73.7870636"
"POINT (-73.89209149560175 40.720108533143616)","4","H433225","1014161.927","201649.909","405","40.72010803","-73.89208984"
"POINT (-73.85296351473117 40.71949845339579)","4","H430319","1025008.455","201443.422","406","40.71949768","-73.85296631"
"POINT (-73.93945971752147 40.66963530497202)","3","H315990","1001044.304","183248.402","308","40.66963577","-73.93946075"
"POINT (-73.9170644256928 40.75602098827449)","4","H438984","1007227.11725","214726.40475","401","40.75601959","-73.91706085"
"POINT (-73.75902399465427 40.7523109258183)","4","H419675","1051015.513","213455.666","411","40.75231171","-73.75902557"
"POINT (-73.85946405038472 40.836685933383016)","2","H210180","1023138.01275","244135.768","209","40.83668518","-73.85946655"
"POINT (-73.88118590609129 40.71249018784368)","4","H433705","1017188.688","198878.228","405","40.71249008","-73.88118744"
"POINT (-73.80756015065602 40.75392238440545)","4","H426866","1037566.679","214009.503","407","40.75392151","-73.80756378"
"POINT (-73.90623435966113 40.7112963597186)","4","H435990","1010245.004","198434.8545","405","40.71129608","-73.90623474"
"POINT (-73.96207843624137 40.71792567378888)","3","H306512","994762.095","200838.478","301","40.71792603","-73.96208191"
"POINT (-73.99118547782602 40.6381627970367)","3","H309085","986696.365","171776.415","312","40.63816452","-73.99118805"
"POINT (-73.72325875823162 40.752339249723576)","4","H418053","1060924.67","213495.268","413","40.75233841","-73.72325897"
"POINT (-74.15929435503499 40.555362403539185)","5","H508629","939984.928","141650.242","503","40.5553627","-74.15929413"
"POINT (-73.94463540416548 40.63112364855727)","3","H319737","999617.4","169216.597","317","40.63112259","-73.94463348"
"POINT (-73.7839935795945 40.76637467566759)","4","H422336","1044084.747","218561.489","411","40.7663765","-73.78399658"
